"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CEMIP",3.40535047073696,6.20125365368596,32.3934014557518,2.76593502797249e-42,2.53636242065078e-38,85.8108209769356,"Upregulated"
"AXIN2",2.13066535442222,7.04738862556917,28.4329255409129,8.66870737795398e-39,5.29946977705587e-35,77.9784677470922,"Upregulated"
"GTF2IRD1",1.6665768045777,7.81404411441235,28.2480064624813,1.29191924650879e-38,5.92344974524278e-35,77.5883975244945,"Upregulated"
"CD44",1.54585187637093,7.35804173925499,25.351821480384,9.0712337695044e-36,1.66366427332711e-32,71.1591702090766,"Upregulated"
"NOB1",1.26041859027071,8.57577008189087,24.4992525297122,7.02439956990393e-35,9.90980677784908e-32,69.1436982425364,"Upregulated"
"GALNT6",2.07419604936559,7.23844208524369,24.297531279222,1.14970283299706e-34,1.50611071122615e-31,68.6580661364581,"Upregulated"
"TEAD4",1.41002332147777,5.97289670447964,23.6567469421077,5.6215863083393e-34,6.06469958205546e-31,67.092484245232,"Upregulated"
"RNF43",1.71191204320011,8.58500610876143,23.3277908881234,1.28671060522513e-33,1.31101513887938e-30,66.2749318990506,"Upregulated"
"ANXA3",2.00388623276376,8.62733477694777,22.9907662324367,3.03449162900544e-33,2.92908297241893e-30,65.4273595580086,"Upregulated"
"UTP4",1.29319117263401,8.6286548332889,22.6421334821982,7.44804141382028e-33,6.50462283473638e-30,64.5397844219456,"Upregulated"
"IMPDH2",1.05933338253579,11.0155139617883,22.3832521741172,1.46094361485198e-32,1.16494373462545e-29,63.873471679425,"Upregulated"
"FOXQ1",4.82407329582235,7.50338565316936,21.9482600087946,4.5939531644501e-32,3.26653400287995e-29,62.7397390838829,"Upregulated"
"SLC29A1",1.34701613732534,6.17117688611304,21.5332833722378,1.39285409181008e-31,8.34915179549219e-29,61.6413165659568,"Upregulated"
"SLC12A2",1.62472277524014,10.3464731560025,21.5179190300571,1.45169556553917e-31,8.34915179549219e-29,61.6003270466219,"Upregulated"
"HILPDA",1.27622152734946,7.17079883240695,21.3491327421749,2.29047120841099e-31,1.16686783228493e-28,61.1485087879543,"Upregulated"
"CDK4",1.18304860140072,9.38558783573905,21.2479946789296,3.01412890553242e-31,1.49403038182337e-28,60.8764301158144,"Upregulated"
"PPA1",1.14002455874403,12.1659810621744,20.9046427442603,7.7116582160759e-31,3.214359356428e-28,59.9451506202219,"Upregulated"
"ENC1",1.82693121518369,8.52537253414216,20.8270441963993,9.55087482181082e-31,3.89251209404468e-28,59.7330362575621,"Upregulated"
"NFE2L3",2.20292096012996,5.75716645712553,20.6437920283879,1.58649722196788e-30,6.32529544584584e-28,59.2296905373351,"Upregulated"
"SORD",1.69296001135846,7.13420167009445,20.6346811831746,1.62717568195895e-30,6.34944723555896e-28,59.2045759603506,"Upregulated"
"TCN1",5.60614612842456,7.1823695474865,20.3374984301198,3.7329206128097e-30,1.3423875301751e-27,58.3806880124672,"Upregulated"
"MYC",1.581429244403,10.1973239111968,20.2485952493037,4.79375039852379e-30,1.61450923268745e-27,58.1324400849291,"Upregulated"
"IARS1",1.00032626577362,10.5255368413999,20.0995416741849,7.30427498096387e-30,2.27306805731251e-27,57.7143764210652,"Upregulated"
"ITGA6",1.3963384387709,10.1613948818115,19.9357271118993,1.16339476134523e-29,3.38568794494172e-27,57.2522119098374,"Upregulated"
"RPP40",1.67359768202715,6.85456345022051,19.6993996643311,2.28809644742657e-29,6.26323714116468e-27,56.5804422263371,"Upregulated"
"LOC105378604",2.31942796105859,6.03108953359635,19.6307611443782,2.78780115962162e-29,7.40989467644354e-27,56.3842131113597,"Upregulated"
"ANKRD22",1.80438350634115,8.42303515502991,19.3487322722633,6.30967766283705e-29,1.60721511578377e-26,55.5725763427024,"Upregulated"
"PPM1H",1.07714400527767,5.27183974436175,19.2684937972303,7.97261903334911e-29,1.954465747843e-26,55.3400781664468,"Upregulated"
"RAD54B",1.52570347614107,4.95969603030254,19.2676349919547,7.99263528289123e-29,1.954465747843e-26,55.3375858835302,"Upregulated"
"TRAP1",1.25823598883185,9.05085120331904,19.2536937761036,8.32477556401393e-29,2.00889978742126e-26,55.297116660703,"Upregulated"
"MRPL17",1.04819936613268,8.77854513590082,19.2202695759357,9.17916643688937e-29,2.15828092887886e-26,55.2000043250661,"Upregulated"
"S100A11",1.36627157184991,10.1549604160863,18.9602348993774,1.97098411184975e-28,4.46269735942277e-26,54.4402731004368,"Upregulated"
"SLC7A5",2.41768244739977,6.75934897079688,18.7635468462216,3.53038803094844e-28,7.80088150452945e-26,53.8606193741078,"Upregulated"
"BYSL",1.22649122774919,6.70909561920094,18.6180735905448,5.44788296459297e-28,1.14843877667397e-25,53.4291025807062,"Upregulated"
"IPO4",1.2016836028177,6.71686227833771,18.5607607993906,6.46743452184522e-28,1.34787214921183e-25,53.2584387333213,"Upregulated"
"GPSM2",1.45888594744091,7.36731438948813,18.5440552582442,6.79951864172043e-28,1.40115923470958e-25,53.2086234571946,"Upregulated"
"ABCC1",1.35678122097116,6.64643825407716,18.4160545192489,9.98954697633142e-28,1.9913944733252e-25,52.8258760852576,"Upregulated"
"CLDN2",3.21560902572348,5.9405330165109,18.3132163997833,1.36252232033642e-27,2.68695261881398e-25,52.5170137417423,"Upregulated"
"BACE2",2.08871849772251,8.28005900622293,18.0808910785596,2.75907003776463e-27,5.01003410817854e-25,51.8147718905341,"Upregulated"
"INTS13",1.17713851255451,8.18378912773702,18.0005224827785,3.52677276257224e-27,6.21932812168989e-25,51.570389646415,"Upregulated"
"SAPCD2",1.46208613496617,7.58754658175399,17.8961137145849,4.8568906124744e-27,8.24771979933153e-25,51.2517830746606,"Upregulated"
"CDC25B",1.68976411262762,7.77045787235711,17.7371069600138,7.92597419067217e-27,1.27510847944673e-24,50.764117109792,"Upregulated"
"QPCT",2.49870326370271,8.04294581533339,17.7263484097577,8.19387174564082e-27,1.30674441578307e-24,50.7310138176237,"Upregulated"
"DARS1",1.07651632553804,8.32917858826824,17.7072004786481,8.69355392635017e-27,1.37448085352812e-24,50.6720632520788,"Upregulated"
"PDCD2L",1.53469126798101,7.00656998279569,17.6769732606316,9.54592327937684e-27,1.47119523482161e-24,50.5789149565437,"Upregulated"
"RUVBL1",1.31629823792702,8.17632114145176,17.5229684208371,1.53987756870311e-26,2.30581162129488e-24,50.1026548764577,"Upregulated"
"TBX3",1.10588848302051,5.56150306686148,17.5216053064174,1.54642764132645e-26,2.30581162129488e-24,50.098426884399,"Upregulated"
"TRIP13",2.03309031585515,6.80593627960082,17.5109606006888,1.59855732078411e-26,2.36431784380488e-24,50.0654024462003,"Upregulated"
"SNHG16",1.03189816258881,10.0372832311045,17.4213756375853,2.11413145923371e-26,3.0772357906624e-24,49.7869370301287,"Upregulated"
"RCN1",1.10511727496994,8.94965564168835,17.3971990606519,2.28015852709409e-26,3.267039639602e-24,49.7116226948694,"Upregulated"
"CFAP263",1.79189054259157,4.82935068061424,17.3673150078921,2.50374454439377e-26,3.50524236215127e-24,49.6184320395718,"Upregulated"
"PAFAH1B3",1.063095977557,8.1916348319308,17.3411746463782,2.71745795754933e-26,3.7472314993575e-24,49.5368281502552,"Upregulated"
"PAICS",1.20681982760557,9.19779212978619,17.2927484258017,3.1634043528989e-26,4.26594381118866e-24,49.385436925814,"Upregulated"
"MMP7",4.2696170680546,7.09160064328791,17.2571131785997,3.53827872315621e-26,4.70232114367282e-24,49.2738534756244,"Upregulated"
"NME1",1.3878613639541,10.0395379126445,17.209365011299,4.11209583250929e-26,5.31097447663523e-24,49.1241020168211,"Upregulated"
